date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:57:26	10040/10040	---MCZ	200	added ('OK')	text/html	date:Wed,%2016%20Sep%202026%2020:27:32%20GMT	https://desktop.fm/	D:/Downloads/what/desktop.fm/index.html	(from )
01:57:27	2916/2916	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Sep%202026%2020:27:33%20GMT	https://desktop.fm/robots.txt		(from )
01:57:28	13128/13128	---M--	200	added ('OK')	image/png	etag:%22dfc8162ee5a09d4016e7418c9aa181e3-ssl%22	https://desktop.fm/favicon.png	D:/Downloads/what/desktop.fm/favicon.png	(from https://desktop.fm/)
01:57:29	167184/167184	---M--	200	added ('OK')	image/png	etag:%220c4c47cf3ac2ebe51d60ad37bf12b1fc-ssl%22	https://desktop.fm/desktopfm-og-image.png	D:/Downloads/what/desktop.fm/desktopfm-og-image.png	(from https://desktop.fm/)
01:57:29	1350/1350	---M-Z	200	added ('OK')	text/css	etag:%22a30f6d4b1c2b5407feab2f78715a8a3b-ssl-df%22	https://desktop.fm/_nuxt/spring.BAPisiKm.css	D:/Downloads/what/desktop.fm/_nuxt/spring.BAPisiKm.css	(from https://desktop.fm/)
01:57:30	2197/2197	---M-Z	200	added ('OK')	text/css	etag:%22f02a9f05090fd22031e97cbe77e01060-ssl-df%22	https://desktop.fm/_nuxt/useTrackEvent.BjKy3C46.css	D:/Downloads/what/desktop.fm/_nuxt/useTrackEvent.BjKy3C46.css	(from https://desktop.fm/)
01:57:31	188344/188344	---M-Z	200	added ('OK')	application/javascript	etag:%2249322e26559ac6fd1aa6a2b863120062-ssl-df%22	https://desktop.fm/_nuxt/entry.C9ILDlt7.js	D:/Downloads/what/desktop.fm/_nuxt/entry.C9ILDlt7.js	(from https://desktop.fm/)
01:57:31	206/206	---M--	200	added ('OK')	application/javascript	etag:%22fcd8d99c39662dab51a058a1980e761d-ssl%22	https://desktop.fm/_nuxt/default.Dl8fTfDb.js	D:/Downloads/what/desktop.fm/_nuxt/default.Dl8fTfDb.js	(from https://desktop.fm/)
01:57:32	91/91	---M--	200	added ('OK')	application/javascript	etag:%22e66d6c81bf6110b87171442f73306683-ssl%22	https://desktop.fm/_nuxt/_plugin-vue_export-helper.DlAUqK2U.js	D:/Downloads/what/desktop.fm/_nuxt/_plugin-vue_export-helper.DlAUqK2U.js	(from https://desktop.fm/)
01:57:32	7133/7133	---MCZ	200	added ('OK')	application/javascript	etag:%224ad8cce70baad02cf5055d753ec2a663-ssl-df%22	https://desktop.fm/_nuxt/index.B-gDzSEs.js	D:/Downloads/what/desktop.fm/_nuxt/index.B-gDzSEs.js	(from https://desktop.fm/)
01:57:33	27050/27050	---MCZ	200	added ('OK')	application/javascript	etag:%220c618f48fdd150309d1bd68378209c97-ssl-df%22	https://desktop.fm/_nuxt/spring.Cpo9cLpY.js	D:/Downloads/what/desktop.fm/_nuxt/spring.Cpo9cLpY.js	(from https://desktop.fm/)
01:57:34	530/530	---M--	200	added ('OK')	application/javascript	etag:%22340d2cdb40eac18ad797fcb4dd981b59-ssl%22	https://desktop.fm/_nuxt/state.CXt5H-WK.js	D:/Downloads/what/desktop.fm/_nuxt/state.CXt5H-WK.js	(from https://desktop.fm/)
01:57:34	2802/2802	---M-Z	200	added ('OK')	application/javascript	etag:%22adcc39259ee12734b115459271dab1f8-ssl-df%22	https://desktop.fm/_nuxt/useTrackEvent.TM2RDTiX.js	D:/Downloads/what/desktop.fm/_nuxt/useTrackEvent.TM2RDTiX.js	(from https://desktop.fm/)
01:57:35	306/306	---M--	200	added ('OK')	application/javascript	etag:%22c65206375a826286f50e9541a331f3f2-ssl%22	https://desktop.fm/_nuxt/chevron-right.Da7ZCV6A.js	D:/Downloads/what/desktop.fm/_nuxt/chevron-right.Da7ZCV6A.js	(from https://desktop.fm/)
01:57:35	4658/4658	---M-Z	200	added ('OK')	application/javascript	etag:%2212518a9bab7271b728172b65c2632601-ssl-df%22	https://desktop.fm/_nuxt/devlog.DJnjf0l2.js	D:/Downloads/what/desktop.fm/_nuxt/devlog.DJnjf0l2.js	(from https://desktop.fm/)
01:57:36	4354/4354	---MCZ	200	added ('OK')	application/javascript	etag:%220f0b98c6ab5bad680935923f020c8340-ssl-df%22	https://desktop.fm/_nuxt/nuxt-link.CUKPyyxA.js	D:/Downloads/what/desktop.fm/_nuxt/nuxt-link.CUKPyyxA.js	(from https://desktop.fm/)
01:57:37	2311/2311	---M-Z	200	added ('OK')	application/javascript	etag:%2228734a7f0f44867fcc8da8c8c0ed58c1-ssl-df%22	https://desktop.fm/_nuxt/error-404.D4-KFzaT.js	D:/Downloads/what/desktop.fm/_nuxt/error-404.D4-KFzaT.js	(from https://desktop.fm/)
01:57:38	1931/1931	---MCZ	200	added ('OK')	application/javascript	etag:%22b16f178a85b80a2b6673c482e7fd175a-ssl-df%22	https://desktop.fm/_nuxt/error-500.DW4bQowo.js	D:/Downloads/what/desktop.fm/_nuxt/error-500.DW4bQowo.js	(from https://desktop.fm/)
01:57:39	129/129	---M--	200	added ('OK')	application/javascript	etag:%22950ef7d24466a066d96919770fdf6c62-ssl%22	https://desktop.fm/_nuxt/_commonjsHelpers.CZnAS8i4.js	D:/Downloads/what/desktop.fm/_nuxt/_commonjsHelpers.CZnAS8i4.js	(from https://desktop.fm/)
01:57:40	618507/618507	---MCZ	200	added ('OK')	application/javascript	etag:%22a84871bce0bb709ceaf8fea959712289-ssl-df%22	https://desktop.fm/_nuxt/index.BwARynwU.js	D:/Downloads/what/desktop.fm/_nuxt/index.BwARynwU.js	(from https://desktop.fm/)
01:57:40	1801/1801	---M-Z	200	added ('OK')	application/javascript	etag:%22eb33b9812584301b9a5711f8dfe3f11e-ssl-df%22	https://desktop.fm/_nuxt/ticker.XS6QYORS.js	D:/Downloads/what/desktop.fm/_nuxt/ticker.XS6QYORS.js	(from https://desktop.fm/)
01:57:41	9527/9527	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Sep%202026%2020:27:46%20GMT	https://desktop.fm/spring.Cpo9cLpY.js	D:/Downloads/what/desktop.fm/spring.Cpo9cLpY.html	(from https://desktop.fm/_nuxt/entry.C9ILDlt7.js)
01:57:42	9622/9622	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Sep%202026%2020:27:47%20GMT	https://desktop.fm/_plugin-vue_export-helper.DlAUqK2U.js	D:/Downloads/what/desktop.fm/_plugin-vue_export-helper.DlAUqK2U.html	(from https://desktop.fm/_nuxt/entry.C9ILDlt7.js)
